ID,LONG,LAT,SETCENS,AREAP,CODDIST,DISTRITO,CODSUBPREF,SUBPREF,REGIAO5,REGIAO8,ESTABELECI,ENDERECO,BAIRRO,TELEFONE,CEP,CNES,SA_DEPADM,DEPADM,SA_TIPO,TIPO,SA_CLASSE,CLASSE,LEITOS,Unnamed: 24,Unnamed: 25,DS_CATEGORIA_UNIDADE
437,-46669891,-23556094,355030845000125,3550308005025,44,JARDIM PAULISTA,11,PINHEIROS,Oeste,Oeste,CLINICAS DAS(FAC DE MED USP) - HOSP,"ENEAS DE CARVALHO AGUIAR,255",CERQUEIRA CESAR,2661000.0,5403900.0,2078015.000000,2,Estadual,33,HOSPITAL GERAL,7,HOSPITAL,1506,,,HOSPITAL
438,-46667722,-23556454,355030845000171,3550308005025,44,JARDIM PAULISTA,11,PINHEIROS,Oeste,Oeste,"CORACAO,INSTITUTO,DO- HOSP INCOR","ENEAS CARVALHO DE AGUIAR,DR,AV,44",CERQ CESAR,30695219.0,5403000.0,2071568.000000,2,Estadual,33,HOSPITAL GERAL,7,HOSPITAL,452,,,HOSPITAL
439,-46650807,-23569926,355030890000211,3550308005022,92,VILA MARIANA,12,VILA MARIANA,Sul,Sul 1,EURYCLIDES DE JESUS ZERBINI - HOSP DE TRANSPLANTE,"LUIS ANTONIO,BRIG,AV,2651",JARDIM PAULISTA,32849111.0,,2088576.000000,2,Estadual,33,HOSPITAL GERAL,7,HOSPITAL,168,,,HOSPITAL
440,-46748602,-23648271,355030846000253,3550308005229,45,JARDIM SAO LUIS,18,M'BOI MIRIM,Sul,Sul 2,FERNANDO MAURO P DA ROCHA-HOSP CAMPO LIMPO,"TEREZA M. OLIVEIRA, R,17/ ITAPECERICA, ESTR,1661",V  MARACANA,55195800.0,5835005.0,2786680.000000,1,Municipal,33,HOSPITAL GERAL,7,HOSPITAL,289,,,HOSPITAL
441,-46690386,-23728599,355030830000298,3550308005283,30,GRAJAU,19,CAPELA DO SOCORRO,Sul,Sul 2,GERAL DE GRAJAU - HOSP,"FRANCISCO OCTAVIO PACCA,R,180",PQ DAS NACOES,56619444.0,4822300.0,2077671.000000,2,Estadual,33,HOSPITAL GERAL,7,HOSPITAL,240,,,HOSPITAL
442,-46405324,-23551375,355030831000134,3550308005264,31,GUAIANASES,28,GUAIANASES,Leste,Leste 2,GERAL DE GUAIANAZES-HOSP JESUS T COSTA,"OTELO AUGUSTO REIBEIRO, R,899",JD S+O PAULO,8641110.0,,2079240.000000,2,Estadual,33,HOSPITAL GERAL,7,HOSPITAL,263,,,HOSPITAL
443,-46676394,-23680112,355030816000106,3550308005170,16,CAMPO GRANDE,14,SANTO AMARO,Sul,Sul 2,GERAL DE PEDREIRA-HOSP,"JOAO FRANCISCO DE MOURA,R,251",V CAMPO GRANDE,56135900.0,4455170.0,2066092.000000,2,Estadual,33,HOSPITAL GERAL,7,HOSPITAL,213,,,HOSPITAL
444,-46486654,-23593967,355030873000062,3550308005154,75,SAO MATEUS,30,SAO MATEUS,Leste,Leste 2,GERAL DE S MATHEUS DR MANOEL BIFULCO-HOSP,"ANGELO DE CANDIA,R,540",SAO MATEUS,61145148.0,3958000.0,2077493.000000,2,Estadual,33,HOSPITAL GERAL,7,HOSPITAL,265,,,HOSPITAL
445,-46717305,-23443414,355030842000258,3550308005188,41,JARAGUA,2,PIRITUBA,Norte,Norte 1,GERAL DE TAIPAS-HOSP KATIA DE SOUZA RODRIGUES,"ELISIO TEIXEIRA LEITE,AV,7000",PARADA TAIPAS,39730400.0,,2082225.000000,2,Estadual,33,HOSPITAL GERAL,7,HOSPITAL,225,,,HOSPITAL
446,-46388373,-23491742,355030836000109,3550308005250,35,ITAIM PAULISTA,24,ITAIM PAULISTA,Leste,Leste 2,GERAL ITAIM PAULISTA-HOSP,"MARECHAL TITO,AV,6035",ITAIM PAULISTA,69636300.0,8115100.0,2077620.000000,2,Estadual,33,HOSPITAL GERAL,7,HOSPITAL,307,,,HOSPITAL
447,-46589869,-23571287,355030853000067,3550308005018,54,MOOCA,25,MOOCA,Leste,Leste 1,"IGNACIO PROENCA DE GOUVEA,DR-HOSP","JUVENTUS,R,562",MOOCA,61699923.0,3124020.0,2084473.000000,1,Municipal,33,HOSPITAL GERAL,7,HOSPITAL,90,,,HOSPITAL
448,-46701543,-23706414,355030823000136,3550308005219,23,CIDADE DUTRA,19,CAPELA DO SOCORRO,Sul,Sul 2,INTERLAGOS-HOSP/ MATERN,"LEONOR ALVIM,R,211",CID DUTRA,56660222.0,4802190.0,2065665.000000,2,Estadual,33,HOSPITAL GERAL,7,HOSPITAL,141,,,HOSPITAL
449,-46611091,-23583827,355030834000022,3550308005043,33,IPIRANGA,13,IPIRANGA,Sul,Sul 1,IPIRANGA-HOSP,"NAZARE,AV,28",IPIRANGA,2157799.0,4262000.0,2077523.000000,2,Estadual,33,HOSPITAL GERAL,7,HOSPITAL,235,,,HOSPITAL
450,-46727089,-23484117,355030863000002,3550308005113,64,PIRITUBA,2,PIRITUBA,Norte,Norte 1,"JOSE SOARES HUNGRIA,DR-HOSP PIRITUBA","MENOTTI LAUDIZIO,AV,100",PIRITUBA,39747000.0,2945000.0,2077450.000000,1,Municipal,33,HOSPITAL GERAL,7,HOSPITAL,103,,,HOSPITAL
451,-46588152,-23535582,355030808000008,3550308005016,8,BELEM,25,MOOCA,Leste,Leste 1,LEONOR MENDES DE BARROS-MATER/ AMB HOSP,"CELSO GARCIA,AV,2477",BRAS,66944987.0,,2077701.000000,2,Estadual,33,HOSPITAL GERAL,7,HOSPITAL,131,,,HOSPITAL
452,-46630600,-23483763,355030870000111,3550308005065,71,SANTANA,5,SANTANA-TUCURUVI,Norte,Norte 2,MANDAQUI-HOSP,"VOLUNTARIOS DA PATRIA,R,4301",SANTANA,69593611.0,2401000.0,2077574.000000,2,Estadual,33,HOSPITAL GERAL,7,HOSPITAL,462,,,HOSPITAL
453,-46764642,-23577587,355030867000061,3550308005182,68,RIO PEQUENO,10,BUTANTA,Oeste,Oeste,"MARIO DEGNI,PROF(JD SARAH)-HOSP E MATER","LUCAS DE LEYDE,AV,257",V  ANTONIO,37684900.0,5376010.0,2075717.000000,1,Municipal,33,HOSPITAL GERAL,7,HOSPITAL,81,,,HOSPITAL
454,-46596580,-23593848,355030834000157,3550308005019,33,IPIRANGA,13,IPIRANGA,Sul,Sul 1,MONUMENTO-HOSP,"LIMA E SILVA,R,985",IPIRANGA,2732277.0,4215020.0,2077752.000000,4,Privado,33,HOSPITAL GERAL,7,HOSPITAL,50,,,HOSPITAL
455,-46620656,-23531306,355030856000016,3550308005015,57,PARI,25,MOOCA,Leste,Leste 1,N SRA DO PARI-HOSP E MATERN,"HAHNEMANN,R,234",PARI,32286533.0,3031040.0,2091399.000000,4,Privado,33,HOSPITAL GERAL,7,HOSPITAL,66,,,HOSPITAL
456,-46705417,-23655096,355030871000030,3550308005173,72,SANTO AMARO,14,SANTO AMARO,Sul,Sul 2,REGIONAL SUL-HOSP/ AMB HOSP,"ROBERTO ALVES DE CARVALHO F,GAL,AV,270",STO  AMARO,55226033.0,4744000.0,2091313.000000,2,Estadual,33,HOSPITAL GERAL,7,HOSPITAL,252,,,HOSPITAL
457,-46643223,-23597158,355030890000123,3550308005046,92,VILA MARIANA,12,VILA MARIANA,Sul,Sul 1,S PAULO-HOSP UNIFESP,"NAPOLEAO DE BARROS,R,715",V CLEMENTINO,55721922.0,4024002.0,2077485.000000,4,Privado,33,HOSPITAL GERAL,7,HOSPITAL,753,,,HOSPITAL
458,-46661309,-23538846,355030826000093,3550308005013,26,CONSOLACAO,9,SE,Centro,Centro,SAMARITANO-HOSP,"BROTERO,CONS,1486",HIGIENOPOLIS,,,2080818.000000,4,Privado,33,HOSPITAL GERAL,7,HOSPITAL,13,,,HOSPITAL
459,-46460882,-23553566,355030857000013,3550308005204,58,PARQUE DO CARMO,27,ITAQUERA,Leste,Leste 2,SANTA MARCELINA-HOSP,"SANTA MARCELINA,R,177",V CARMOSINA,61706000.0,8270070.0,2077477.000000,4,Privado,33,HOSPITAL GERAL,7,HOSPITAL,612,,,HOSPITAL
460,-46626863,-23487140,355030870000111,3550308005065,71,SANTANA,5,SANTANA-TUCURUVI,Norte,Norte 2,SAO CAMILO SANTANA - HOSP E MATERN,"VOLUNTARIOS DA PATRIA,R,3693",SANTANA,69728000.0,,3039420.000000,4,Privado,33,HOSPITAL GERAL,7,HOSPITAL,0,,,HOSPITAL
461,-46653654,-23596622,355030832000003,3550308005049,53,MOEMA,12,VILA MARIANA,Sul,Sul 1,SERVIDOR PUBLICO ESTADUAL-HOSP,"PEDRO DE TOLEDO,R,1800",V CLEMENTINO,50888000.0,4029000.0,2058502.000000,2,Estadual,33,HOSPITAL GERAL,7,HOSPITAL,64,,,HOSPITAL
462,-46638630,-23566982,355030849000107,3550308005008,49,LIBERDADE,9,SE,Centro,Centro,SERVIDOR PUBLICO MUNICIPAL - HOSP,"CASTRO ALVES,R,60",ACLIMACAO,32082211.0,1532900.0,2752077.000000,1,Municipal,33,HOSPITAL GERAL,7,HOSPITAL,83,,,HOSPITAL
463,-46704747,-23649638,355030871000013,3550308005173,72,SANTO AMARO,14,SANTO AMARO,Sul,Sul 2,STA CASA DE SANTO AMARO-HOSP,"ISABEL SCHMIDT,59",STO  AMARO,,4743030.0,2075962.000000,4,Privado,33,HOSPITAL GERAL,7,HOSPITAL,132,,,HOSPITAL
464,-46648704,-23541966,355030826000077,3550308005012,26,CONSOLACAO,9,SE,Centro,Centro,STA CASA DE SAO PAULO-HOSP CENTRAL,"CESARIO MOTA JR,DR,R,112",CONSOLACAO,32267000.0,1221020.0,2688689.000000,4,Privado,33,HOSPITAL GERAL,7,HOSPITAL,1190,,,HOSPITAL
465,-46632362,-23596644,355030890000117,3550308005046,92,VILA MARIANA,12,VILA MARIANA,Sul,Sul 1,STA CRUZ-HOSP,"SANTA CRUZ,R,398",V MARIANA,50802000.0,,2082624.000000,4,Privado,33,HOSPITAL GERAL,7,HOSPITAL,4,,,HOSPITAL
466,-46439508,-23496638,355030874000089,3550308005196,76,SAO MIGUEL,23,SAO MIGUEL,Leste,Leste 2,TIDE SETUBAL-HOSP,"JOSE GUILHERME EIRAS,DR,R,123",S M PAULISTA,69568045.0,8010220.0,2080583.000000,1,Municipal,33,HOSPITAL GERAL,7,HOSPITAL,172,,,HOSPITAL
467,-46740303,-23564487,355030812000020,3550308005105,12,BUTANTA,10,BUTANTA,Oeste,Oeste,UNIVERSITARIO (MEC MPAS) - HOSP,"LINEU PRESTES,PROF,AV,2565",BUTANTA,38127711.0,5508900.0,2076926.000000,2,Estadual,33,HOSPITAL GERAL,7,HOSPITAL,246,,,HOSPITAL
468,-46561359,-23592989,355030893000019,3550308005042,95,VILA PRUDENTE,29,VILA PRUDENTE,Leste,Leste 1,V ALPINA-HOSPITAL (SECONCI),"FRANCISCO FALCONI,R,1501",V ALPINA,63182100.0,3227000.0,2077426.000000,2,Estadual,33,HOSPITAL GERAL,7,HOSPITAL,202,,,HOSPITAL
469,-46694858,-23484736,355030829000031,3550308005118,29,FREGUESIA DO O,3,FREGUESIA-BRASILANDIA,Norte,Norte 1,V PENTEADO DR JOSE PANGELLA-HOSP,"PETRONIO PORTELA,MIN,AV,1642",ITABERABA,39769911.0,2959000.0,2091755.000000,2,Estadual,33,HOSPITAL GERAL,7,HOSPITAL,208,,,HOSPITAL
470,-46716309,-23567978,355030812000025,3550308005105,12,BUTANTA,10,BUTANTA,Oeste,Oeste,VITAL BRASIL-HOSP,"VITAL BRASIL,AV,1500",BUTANTA,37267222.0,5503900.0,2091356,2,Estadual,33,HOSPITAL GERAL,7,HOSPITAL,11,,,HOSPITAL
471,-46444300,-23530669,355030837000041,3550308005201,36,ITAQUERA,27,ITAQUERA,Leste,Leste 2,"WALDOMIRO DE PAULA,PROF-HOSP","AUGUSTO CARLOS BAUMANN,R,1074",ITAQUERA,69446355.0,8210590.0,2077639.000000,1,Municipal,33,HOSPITAL GERAL,7,HOSPITAL,185,,,HOSPITAL
472,-46668483,-23554927,355030845000171,3550308005025,44,JARDIM PAULISTA,11,PINHEIROS,Oeste,Oeste,ADOLFO LUTZ - INSTITUTO,"ARNALDO,  AV,DR, 355",CONSOLACAO,30857022.0,1246902.0,2091364,2,Estadual,34,INSTITUTO,1,AMBULATORIOS ESPECIALIZADOS,0,,,AMBULATORIOS ESPECIFICOS
473,-46647963,-23547616,355030826000137,3550308005013,26,CONSOLACAO,9,SE,Centro,Centro,CLEMENTE FERREIRA DIV TISIOLOGIA-INSTITUTO,"CONSOLACAO,DA,R, 717",CONSOLACAO,2587644.0,1301000.0,2057220,2,Estadual,34,INSTITUTO,1,AMBULATORIOS ESPECIALIZADOS,0,,,AMBULATORIOS ESPECIFICOS
474,-46445253,-23490746,355030874000112,3550308005196,76,SAO MIGUEL,23,SAO MIGUEL,Leste,Leste 2,INSTITUTO PAULISTA GERI E GERONT JOSE MORAES - IPGG,"ALEIXO MONTEIRO MAFRA,PE,PCA,34",S M PAULISTA,50879911.0,8011010.0,2092344,2,Estadual,34,INSTITUTO,1,AMBULATORIOS ESPECIALIZADOS,0,,,AMBULATORIOS ESPECIFICOS
475,-46647454,-23568781,355030890000205,3550308005022,92,VILA MARIANA,12,VILA MARIANA,Sul,Sul 1,PASTEUR - INSTITUTO,"PAULISTA,AV,393",CERQUEIRA CESAR,32880088.0,1311000.0,2032759,2,Estadual,34,INSTITUTO,1,AMBULATORIOS ESPECIALIZADOS,0,,,AMBULATORIOS ESPECIFICOS
476,-46722018,-23537038,355030802000062,3550308005106,2,ALTO DE PINHEIROS,11,PINHEIROS,Oeste,Oeste,LAPA-LABORATORIO MUNICIPAL,"QUEIROZ FILHO, AV,313",PQ. DA LAPA,30212171.0,5319000.0,2752085.000000,1,Municipal,35,LABORATORIO,2,APOIO DIAGNOSTICO,0,,,OUTROS ESTABELECIMENTOS E SERVICOS ESPECIALIZADOS
477,-46694171,-23489709,355030829000013,3550308005117,29,FREGUESIA DO O,3,FREGUESIA-BRASILANDIA,Norte,Norte 1,N SRA DO O-LABORATORIO MUNICIPAL,"ITABERABA,AV,1377",FREGUESIA DO  O,39750698.0,2734000.0,2027089.000000,1,Municipal,35,LABORATORIO,2,APOIO DIAGNOSTICO,0,,,OUTROS ESTABELECIMENTOS E SERVICOS ESPECIALIZADOS
478,-46608058,-23587761,355030834000009,3550308005019,33,IPIRANGA,13,IPIRANGA,Sul,Sul 1,REGIAO SUDESTE -LABORATORIO MUNICIPAL,"MARCHETTI , PE,R, 557",IPIRANGA,61618379.0,4606000.0,2027097.000000,1,Municipal,35,LABORATORIO,2,APOIO DIAGNOSTICO,0,,,OUTROS ESTABELECIMENTOS E SERVICOS ESPECIALIZADOS
479,-46446384,-23509494,355030887000107,3550308005193,89,VILA JACUI,23,SAO MIGUEL,Leste,Leste 2,S MIGUEL PAULISTA-LABORATORIO  II,"MARIA SANTANA, AV. 101",JD STA MARIA,61537257.0,,2091771,2,Estadual,35,LABORATORIO,2,APOIO DIAGNOSTICO,0,,,OUTROS ESTABELECIMENTOS E SERVICOS ESPECIALIZADOS
480,-46715338,-23650088,355030871000065,3550308005174,72,SANTO AMARO,14,SANTO AMARO,Sul,Sul 2,SANTO AMARO- LABORATORIO,"PAULA CRUZ,R,71",JD. DOM BOSCO,55487967.0,4757120.0,2091674,1,Municipal,35,LABORATORIO,2,APOIO DIAGNOSTICO,0,,,OUTROS ESTABELECIMENTOS E SERVICOS ESPECIALIZADOS
481,-46630870,-23484349,355030870000111,3550308005065,71,SANTANA,5,SANTANA-TUCURUVI,Norte,Norte 2,ZONA NORTE - CENTRO DE ANALISES CLINICAS,"VOLUNTARIOS DA PATRIA,4301",SANTANA,,2401000.0,3996344.000000,2,Estadual,35,LABORATORIO,2,APOIO DIAGNOSTICO,0,,,OUTROS ESTABELECIMENTOS E SERVICOS ESPECIALIZADOS
482,-46696838,-23659600,355030816000098,3550308005171,16,CAMPO GRANDE,14,SANTO AMARO,Sul,Sul 2,ZONA SUL - CENTRO DE ANALISES CLINICAS,"NOSSA SENHORA DO SABARA,AV,234",CAMPO GRANDE,,4686000.0,6351662.000000,2,Estadual,35,LABORATORIO,2,APOIO DIAGNOSTICO,0,,,OUTROS ESTABELECIMENTOS E SERVICOS ESPECIALIZADOS
483,-46627105,-23511912,355030870000060,3550308005064,71,SANTANA,5,SANTANA-TUCURUVI,Norte,Norte 2,ZOONOSES E DOENCAS TRANSMISSIVEIS POR VETORES - LAB,"EUL-LIA, STA,R 86",SANTANA,,2031020.0,6511848.000000,1,Municipal,35,LABORATORIO DE ZOONOSES,4,VIGILANCIA EM SAUDE,0,,,OUTROS ESTABELECIMENTOS E SERVICOS ESPECIALIZADOS
484,-46482734,-23598174,355030873000006,3550308005207,75,SAO MATEUS,30,SAO MATEUS,Leste,Leste 2,SAO MATEUS -CR PRATICAS MEDICINAIS NATURAIS,"AURELIANO DA SILVA ARRUDA,DR,R,403",CID. SAO MATEUS,61125175.0,3960050.0,3826872,1,Municipal,36,MEDICINAS NATURAIS,1,AMBULATORIOS ESPECIALIZADOS,0,,,AMBULATORIOS ESPECIFICOS
485,-46627859,-23550525,355030878000003,3550308005001,80,SE,9,SE,Centro,Centro,CENTRO - UNIDADE DE MEDICINAS TRADICIONAIS,"FREDERICO ALVARENGA,R,259, 3 AND",PQ. D. PEDRO,,1020030.0,3475182,1,Municipal,37,MEDICINAS TRADICIONAIS,1,AMBULATORIOS ESPECIALIZADOS,0,,,AMBULATORIOS ESPECIFICOS
486,-46472928,-23493325,355030828000079,3550308005192,28,ERMELINO MATARAZZO,22,ERMELINO MATARAZZO,Leste,Leste 2,ACDEM - NIR,"MIGUEL RACHID,596",V PARANAGU-,25411548.0,3808130.0,3420647.000000,1,Municipal,39,NUCLEO INTEGRADO DE REABILITACAO,1,AMBULATORIOS ESPECIALIZADOS,0,,,AMBULATORIOS ESPECIFICOS
487,-46612505,-23482098,355030882000068,3550308005066,84,TUCURUVI,5,SANTANA-TUCURUVI,Norte,Norte 2,"ARMANDO DE AGUIAR PUPO,DR - APD CER","NOVA CANTAREIRA,AV,1476",TUCURUVI,29526700.0,2331002.0,2751984.000000,1,Municipal,39,NUCLEO INTEGRADO DE REABILITACAO,1,AMBULATORIOS ESPECIALIZADOS,0,,,AMBULATORIOS ESPECIFICOS
488,-46610494,-23503837,355030886000033,3550308005031,88,VILA GUILHERME,7,VILA MARIA-VILA GUILHERME,Norte,Norte 2,CARANDIRU- NIR,"JOSE PEREIRA JORGE,R,305",CARANDIRU,62224144.0,2067020.0,2068079.000000,1,Municipal,39,NUCLEO INTEGRADO DE REABILITACAO,1,AMBULATORIOS ESPECIALIZADOS,0,,,AMBULATORIOS ESPECIFICOS
489,-46398526,-23600739,355030825000286,3550308005272,25,CIDADE TIRADENTES,31,CIDADE TIRADENTES,Leste,Leste 2,CIDADE TIRADENTES - NIR,"FERNANDO GANGA,R,14",CIDADE TIRADENTES,25161729.0,8471000.0,5468094.000000,1,Municipal,39,NUCLEO INTEGRADO DE REABILITACAO,1,AMBULATORIOS ESPECIALIZADOS,0,,,AMBULATORIOS ESPECIFICOS
491,-46693556,-23505513,355030829000122,3550308005117,29,FREGUESIA DO O,3,FREGUESIA-BRASILANDIA,Norte,Norte 1,FREGUESIA DO O BRASILANDIA - NIR,"MARINA, STA,AV,2147",FREGUESIA,39316744.0,2732040.0,6930980.000000,1,Municipal,39,NUCLEO INTEGRADO DE REABILITACAO,1,AMBULATORIOS ESPECIALIZADOS,0,,,AMBULATORIOS ESPECIFICOS
492,-46580114,-23474310,355030839000062,3550308005070,38,JACANA,6,JACANA-TREMEMBE,Norte,Norte 2,JACANA-NIR,"SAO GERALDINO,R,222",V CONSTANCA,62440065.0,2258220.0,2787962.000000,1,Municipal,39,NUCLEO INTEGRADO DE REABILITACAO,1,AMBULATORIOS ESPECIALIZADOS,0,,,AMBULATORIOS ESPECIFICOS
493,-46704621,-23722254,355030823000019,3550308005287,23,CIDADE DUTRA,19,CAPELA DO SOCORRO,Sul,Sul 2,JD CLIPPER-NIR,"CARLOS PEZZOLO,DR,S/N",PQ ESMERALDA,59285703.0,4828070.0,2751887.000000,1,Municipal,39,NUCLEO INTEGRADO DE REABILITACAO,1,AMBULATORIOS ESPECIALIZADOS,0,,,AMBULATORIOS ESPECIFICOS
494,-46700579,-23492812,355030829000008,3550308005116,29,FREGUESIA DO O,3,FREGUESIA-BRASILANDIA,Norte,Norte 1,JD GUANABARA- NIR,"PETRONIO PORTELA,MIN,AV,663",FREGUESIA DO O,39752134.0,2959000.0,2787407.000000,1,Municipal,39,NUCLEO INTEGRADO DE REABILITACAO,1,AMBULATORIOS ESPECIALIZADOS,0,,,AMBULATORIOS ESPECIFICOS
495,-46731959,-23586132,355030812000104,3550308005180,12,BUTANTA,10,BUTANTA,Oeste,Oeste,JD PERI PERI-NIR,"JOAO GUERRA,R,247",JD. PERI PERI,37420552.0,5535100.0,2027240.000000,1,Municipal,39,NUCLEO INTEGRADO DE REABILITACAO,1,AMBULATORIOS ESPECIALIZADOS,0,,,AMBULATORIOS ESPECIFICOS
496,-46398068,-23553491,355030831000067,3550308005266,31,GUAIANASES,28,GUAIANASES,Leste,Leste 2,JD SOARES- NIR,"FELICIANO DE MENDONCA,R,496",JD. SOARES,25577022.0,8460365.0,4050045.000000,1,Municipal,39,NUCLEO INTEGRADO DE REABILITACAO,1,AMBULATORIOS ESPECIALIZADOS,0,,,AMBULATORIOS ESPECIFICOS
497,-46434612,-23553169,355030847000033,3550308005262,46,JOSE BONIFACIO,27,ITAQUERA,Leste,Leste 2,JOSE BONIFACIO IV- NIR,"ANDREAS AMON,R,150",COHAB JOSE BONIFACIO,65232158.0,8255130.0,2751895.000000,1,Municipal,39,NUCLEO INTEGRADO DE REABILITACAO,1,AMBULATORIOS ESPECIALIZADOS,0,,,AMBULATORIOS ESPECIFICOS
498,-46481445,-23497115,355030828000001,3550308005192,28,ERMELINO MATARAZZO,22,ERMELINO MATARAZZO,Leste,Leste 2,LAR VICENTINO - NIR,"OVIDIO LOPES,253",PQ BOTURUSSU,25465682.0,3804110.0,9901411.000000,1,Municipal,39,NUCLEO INTEGRADO DE REABILITACAO,1,AMBULATORIOS ESPECIALIZADOS,0,,,AMBULATORIOS ESPECIFICOS
499,-46684432,-23472919,355030811000037,3550308005120,11,BRASILANDIA,3,FREGUESIA-BRASILANDIA,Norte,Norte 1,"MARIA CECILIA F DONNANGELO,PROFA-NIR","RUI DE MORAIS APOCALIPSE,R,2",BRASILANDIA,39217759.0,2842260.0,2788071.000000,1,Municipal,39,NUCLEO INTEGRADO DE REABILITACAO,1,AMBULATORIOS ESPECIALIZADOS,0,,,AMBULATORIOS ESPECIFICOS
500,-46717470,-23770029,355030855000015,3550308005299,56,PARELHEIROS,20,PARELHEIROS,Sul,Sul 2,PARELHEIROS - NIR,"TEOTONIO VILELA,SEN,AV,8895",PARELHEIROS,,4858001.0,6642470.000000,1,Municipal,39,NUCLEO INTEGRADO DE REABILITACAO,1,AMBULATORIOS ESPECIALIZADOS,0,,,AMBULATORIOS ESPECIFICOS
501,-46737938,-23403315,355030861000051,3550308005242,62,PERUS,1,PERUS,Norte,Norte 1,PERUS-NIRAE,"JULIO DE OLIVEIRA,R,80",V FLAMENGO,39171263.0,5201070.0,3094340.000000,1,Municipal,39,NUCLEO INTEGRADO DE REABILITACAO,1,AMBULATORIOS ESPECIALIZADOS,0,,,AMBULATORIOS ESPECIFICOS
502,-46716684,-23524112,355030848000054,3550308005059,48,LAPA,8,LAPA,Oeste,Oeste,PQ  LAPA DR. FERNANDO RAMIRES CRUZ - NIR,"GAVIAO PEIXOTO,BRIG,727",LAPA,38628017.0,5078000.0,2751941.000000,1,Municipal,39,NUCLEO INTEGRADO DE REABILITACAO,1,AMBULATORIOS ESPECIALIZADOS,0,,,AMBULATORIOS ESPECIFICOS
503,-46491452,-23537205,355030805000062,3550308005149,5,ARTUR ALVIM,21,PENHA,Leste,Leste 1,PQ ARTUR ALVIM - NIR,"HENRIQUE JACOBS,R,269",ARTHUR ALVIM,27494235.0,3566010.0,2752328.000000,1,Municipal,39,NUCLEO INTEGRADO DE REABILITACAO,1,AMBULATORIOS ESPECIALIZADOS,0,,,AMBULATORIOS ESPECIFICOS
504,-46492813,-23611267,355030876000172,3550308005209,78,SAPOPEMBA,29,VILA PRUDENTE,Leste,Leste 1,SAPOPEMBA - NIR,"JOAO LOPES DE LIMA,R,1151",JD. SAPOPEMBA,29623480.0,3976020.0,2751968.000000,1,Municipal,39,NUCLEO INTEGRADO DE REABILITACAO,1,AMBULATORIOS ESPECIALIZADOS,0,,,AMBULATORIOS ESPECIFICOS
505,-46440472,-23496403,355030874000093,3550308005196,76,SAO MIGUEL,23,SAO MIGUEL,Leste,Leste 2,TITO LOPES DA SILVA -NIR,"ANTONIO GAMA DE CERQUEIRA,PROF,R,647",V AMERICANA,29569099.0,8010130.0,2751976.000000,1,Municipal,39,NUCLEO INTEGRADO DE REABILITACAO,1,AMBULATORIOS ESPECIALIZADOS,0,,,AMBULATORIOS ESPECIFICOS
506,-46717684,-23434929,355030842000177,3550308005188,41,JARAGUA,2,PIRITUBA,Norte,Norte 1,UNIAO DAS VILAS DE TAIPAS - NIR,"ELISIO TEIXEIRA LEITE,AV,7703",PARADA DE TAIPAS,39712432.0,2710000.0,2788667.000000,1,Municipal,39,NUCLEO INTEGRADO DE REABILITACAO,1,AMBULATORIOS ESPECIALIZADOS,0,,,AMBULATORIOS ESPECIFICOS
507,-46442459,-23533676,355030837000079,3550308005201,36,ITAQUERA,27,ITAQUERA,Leste,Leste 2,V N SRA APARECIDA- NIR,"PAULINO SERQUEIRA,R,01",ITAQUERA,61797871.0,8215160.0,2789094.000000,1,Municipal,39,NUCLEO INTEGRADO DE REABILITACAO,1,AMBULATORIOS ESPECIALIZADOS,0,,,AMBULATORIOS ESPECIFICOS
508,-46524187,-23552513,355030820000075,3550308005078,20,CARRAO,26,ARICANDUVA-FORMOSA-CARRAO,Leste,Leste 1,VILA CARRAO - NIR DR. ADHEMAR MONTEIRO PACHECO,"JACI BARBOSA,DR,R,280",CARRAOZINHO,67854728.0,3447000.0,2752352.000000,1,Municipal,39,NUCLEO INTEGRADO DE REABILITACAO,1,AMBULATORIOS ESPECIALIZADOS,0,,,AMBULATORIOS ESPECIFICOS
509,-46612505,-23482098,355030882000068,3550308005066,84,TUCURUVI,5,SANTANA-TUCURUVI,Norte,Norte 2,"ARMANDO DE AGUIAR PUPO,DR -  NISA","NOVA CANTAREIRA,AV,1476",TUCURUVI,29526700.0,2331002.0,2751984.000000,1,Municipal,55,NUCLEO INTEGRADO DE SAUDE AUDITIVA,1,AMBULATORIOS ESPECIALIZADOS,0,,,AMBULATORIOS ESPECIFICOS
510,-46716684,-23524112,355030848000054,3550308005059,48,LAPA,8,LAPA,Oeste,Oeste,FERNANDO RAMIREZ CRUZ - NISA,"BRIG GAVI´┐¢O PEIXOTO, R.727",LAPA,38652213.0,5078000.0,2751941.000000,1,Municipal,55,NUCLEO INTEGRADO DE SAUDE AUDITIVA,1,AMBULATORIOS ESPECIALIZADOS,0,,,AMBULATORIOS ESPECIFICOS
511,-46603666,-23555510,355030853000023,3550308005018,54,MOOCA,25,MOOCA,Leste,Leste 1,"ITALO DOMIGOS LE VOCCI,DR- NISA  (MOOCA)","MARINA CRESPI,R,91",MOOCA,22929512.0,3112090.0,2751917.000000,1,Municipal,55,NUCLEO INTEGRADO DE SAUDE AUDITIVA,1,AMBULATORIOS ESPECIALIZADOS,0,,,AMBULATORIOS ESPECIFICOS
